Sample,Reads
X1000543,9898969
X1000488,10235279
X1000553,8987185
X1000634,1449505
X1000553_2,10612092
X1000634_2,10516367
X42999_2,5169244
X1000663,5936211
X1000448_2,5635648
X1000487,56314
X1000354,767262
X1000640,5940633
X1000446_2,4025338
X43327_3,6401794
X1000661,7739589
X1000592,5937482
X1000593,6050965
X1000532,6759874
X1000759,835722
X43770,7446451
X1000716,7528842
X43667,786886
X1000768,8407151
X1000766,7384502
X1000340,9194499
X1000811_1,8226848
X44207,869372
X1000445,8727997
X1000217,11326803
X1000811_2,7376851
X1000767_1,7464934
X1000001,5885995
X1000343,9352746
X1000852,8082878
X1000226,7653603
X1000772_2,7502923
X1000604,8738134
X1000611,10367257
X1000864_2,3422373
X45114,2947454
X45230,3818318
X1000328,2902436
X1000769,4217094
X1000705,3504803
X1000227,2707678
X1000797_2,4008492
X1000773,9358212
X1000333,9166588
X1000906,8773295
X1000881,8888367
X1000882,10146944
X1000774,10044378
X1000870,9563654
X1000917,10052946
X1000915,4312723
X1000230,513762
X1000771_2,4878332
X1000914,5460158
X1000229,4895422
X1000216,2609001
X1000439,4497882
X1000891,6549586
X1000115_1,6884215
X1000010,9456835
X1000953,7426091
X1000115_2,6899493
X1000986_1,7546557
X1000998,7873094
X1000953_2,7008091
X1000986_2,6934369
X1000833,5667692
X46667,4570451
X46668,5250007
X1000952,5564475
X1000908,11818495
X1001010,10785015
X1000936_2,6845868
X1000700_2,10996248
X1000904,11827226
X1000956,496578
X1000785,6715601
X1000008,6607534
X1000850,5076518
X1000493,7912436
X1000939_2,7171993
X1000846,810655
X1000009,9090382
X1001083,9933117
X1001091,8121938
X1000331,7952024
X1001082,8653868
X1000901,9272077
X47451,869375
X1000960,8001148
X1000958,7411421
X1001559,9826615
X1000849,1022716
X1000830,8082947
X1000959,6645528
X1000896,6933017
X47752,8818388
X47753,8201861
X1001620,8623723
X1000535,7424295
X1001652,7948652
X47933,9322427
X47934,9214414
X47935,10585241
X1000907,8357485
X1001103,8514239
X48111,9113402
X48112,1067693
X48113,9512014
X48114,10439877
X1000358,8288715
X1000985,9315828
X1000842,7307867
X1001109,7191354
X1000449,5192901
X1001061,5951737
X48363,10783848
X1001059,10966758
X1001622,5532968
X1001650_2,6562693
X1000494,8755172
X1001562,6186381
X1001657,2892168
X1001696,2455734
X48608,478118
X1001500,1932303
X48623,2614097
X48624,3011778
X48625,2627039
X48626,3061845
X48627,6129225
X48628,6815646
X48629,881947
X48630,767458
X48631,6896475
X48632,7775076
X48633,733123
X48634,419036
X48636,3259343
X48637,2976193
X48638,2418894
X48639,2350478
X48738,1956856
X1000930,2764112
X47451,2291286
X48738_2,2291280
X48635,2564042
X1001101,2754778
X1001092,2310148
X1001651,2955832
X48640,2799448
X48876,3111588
X48877,3111091
X48878,311109
X1001770,3840383
X1000954,4381085
X1000002,3850263
X1000003,3510237
X1000005,4027519
X1001750,3398876
X1001751,3796648
X1001964,3419833
X1001959,8366493
X1001964_2,7523811
X1001967,8753064
X1001755,7761018
X1001754,10567154
X1001756,8869714
X1001757,9380982
X1000809,3796638
X1001093,3419803
X1001060,5366493
X1001965,4523811
X1001999,3761018
X1001827,5236666
X1001768,3153806
X1001984,2487183
X1001984_2,2380980
X1001759,8153806
X51756,5236656
X51763,4487183
X51752,9102056
X1002037,7302552
X1001616,7094849
X1002019,6343154
X1002000,8975473
X1000760,1961244
X1001993,3007152
X1002023,2878978
X1002035,2001025
X1001997,3791883
X1001649,2898093
X1001764_2,1495240
X1001772,2614655
X1001498,3562055
X1001797,3642281
X1001764,4083506
X1002023_2,3948543
X1001575,3516189
X1002008,3297829
X1002069,5857448
X1001653,4094927
X1000485,3778708
X1001986,5913953
X1002003,7509831
X1001703,6662227
X1002004,6057736
X1001987,5455986
X1001741,4900178
X1001715,5765026
X1002035,3295097
X1002064,3860977
X1002011,7621581
X53134,9883027
X52976,6673434
X52977,6041985
X52978,5926092
X52979,6791715
X1001642,10213326
X1001645,6028029
X53372,982588
X1001970,140697
X1001946,3406337
X1002155,1672683
X1002063,4740962
X1002190,3343823
X1002161,4990304
X1002165,1645301
X1001179,5009577
X53636,6010636
X1002143,7855614
X1002147,6655536
X1002146,5833862
X1002058,1916658
X1002150,11986382
X1002133,7679124
X1002070,7032363
X1001741,7604497
X1001970,4715343
X1001758,9599232
X1001987_2,6161583
X1001961,6414275
X1002198,7166845
X1002071,7779378
X1001779,7096505
X1002068,8877963
X1001632,7085268
X1001643,6901093
X1002177,2557693
X1001985,2178398
X1001054,2858285
X1002024,2094327
X1001614,2457603
X1001940,2001514
X1001974,1678819
X1001789,2346909
X1002007,2666864
X1002157,2053171
X1002024_2,1780141
X1001640,2477651
X1001641,2662049
X1001630,2459086
X1001613,2323909
X1001746,1862615
X1002173,2139738
X1001960,2233919
X1002034,2291382
X1001991,1782518
X1002164,2382248
X1001720,1724938
X1002072,1666374
X1002152,2152667
X1002305,332276
X1001638,3814647
X1002286,2909606
X1002167,3395957
X1001781,3177403
X1002015,3290618
X1002175,3592809
X1000841,3312945
X1002315,6965404
X1002253,10071658
X1002151,5436357
X1002306,5603258
X1002235,7969109
X1002248,7373194
X1001771,7779028
X1002271,6107186
X1001962,1599441
X1001767,2696317
X1002168,1765798
X1001049,3276308
X1001784,1582456
X1002232,3476852
X1001963,2651158
X1002250,2786643
